title,year,length,budget,rating,votes,Action,Comedy,Drama,Romance,Short,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,country
Global Movie 74,1964,145.0,55014444.0,6.0,982930,0,0,1,1,1,0,0,0,0,0,Global
Global Movie 75,1994,124.0,14679946.0,9.2,417150,0,0,0,0,1,1,0,0,1,1,Global
Global Movie 76,2014,161.0,77340125.0,5.8,817273,1,1,0,1,1,1,1,1,0,1,Global
Global Movie 77,2020,161.0,75950504.0,4.5,894777,1,1,1,1,0,0,1,0,1,1,Global
Global Movie 78,1958,129.0,143957973.0,9.5,933011,0,0,0,1,0,1,0,0,1,1,Global
Global Movie 79,1950,128.0,83216490.0,5.5,362522,0,1,0,1,0,1,0,0,0,0,Global
Global Movie 80,1957,102.0,118392239.0,8.7,682659,0,0,1,0,1,0,1,1,0,1,Global
Global Movie 81,2012,88.0,14486194.0,4.9,842752,1,0,1,1,0,0,1,0,0,0,Global
Global Movie 82,1960,97.0,73246820.0,8.0,409390,1,1,0,1,0,1,1,1,1,1,Global
Global Movie 83,1957,121.0,90160493.0,6.9,933430,1,1,1,1,0,0,1,1,1,0,Global
Global Movie 84,1984,118.0,182249648.0,9.4,990635,1,0,0,1,0,0,1,1,0,1,Global
Global Movie 85,1984,106.0,59056226.0,7.0,307435,0,1,1,0,1,0,1,1,0,1,Global
Global Movie 86,1982,95.0,160647055.0,4.1,221212,1,1,1,0,1,1,1,0,0,0,Global
Global Movie 87,1954,168.0,191959951.0,7.3,528043,1,0,0,0,1,1,0,0,1,1,Global
Global Movie 88,1990,167.0,187575769.0,4.8,689686,0,1,0,1,1,1,0,1,1,1,Global
Global Movie 89,1977,168.0,58954168.0,8.4,791876,1,0,0,1,0,0,1,0,0,1,Global
Global Movie 90,1956,109.0,45945123.0,8.7,431542,0,1,0,0,1,0,1,0,0,0,Global
Global Movie 91,2021,149.0,36539628.0,6.7,817429,1,0,0,0,0,0,1,1,1,1,Global
Global Movie 92,1961,107.0,126492889.0,8.3,814655,0,1,1,0,1,0,0,1,1,0,Global
Global Movie 93,1983,146.0,42257621.0,4.8,953291,0,1,1,0,1,0,0,0,0,1,Global
Global Movie 94,1982,156.0,80415670.0,6.7,798777,0,1,0,0,0,1,1,0,0,1,Global
Global Movie 95,1997,123.0,2560121.0,6.2,876765,1,1,0,1,0,0,1,0,0,0,Global
Global Movie 96,1972,91.0,73987127.0,7.4,461822,1,1,0,1,1,1,0,0,1,0,Global
Global Movie 97,2011,85.0,85329115.0,4.2,355683,1,1,1,0,0,0,0,1,0,0,Global
Global Movie 98,1986,97.0,71207936.0,8.1,466702,1,1,1,1,1,1,0,1,1,1,Global
Global Movie 99,1993,104.0,128864235.0,4.4,217379,1,1,0,1,0,0,1,1,0,0,Global
Global Movie 100,1984,129.0,175422883.0,7.6,237579,1,0,1,0,1,0,1,0,0,1,Global
Global Movie 101,2014,114.0,65794026.0,4.1,56069,0,1,1,0,1,0,0,1,0,1,Global
Global Movie 102,1996,115.0,160344036.0,8.6,81934,1,1,0,0,1,0,1,0,0,0,Global
Global Movie 103,1952,141.0,31270785.0,5.0,211497,1,1,0,0,1,1,1,1,0,1,Global
Global Movie 104,1950,177.0,184115664.0,6.8,245290,0,1,1,1,0,0,1,0,0,1,Global
Global Movie 105,1954,124.0,190749927.0,5.4,943467,0,1,1,1,0,1,0,0,1,1,Global
Global Movie 106,1963,155.0,126187668.0,8.0,787676,1,0,1,1,1,1,0,1,1,1,Global
Global Movie 107,1976,154.0,186300616.0,5.8,429998,0,0,1,1,1,1,0,1,0,0,Global
Global Movie 108,1958,95.0,72424460.0,8.0,52582,1,1,1,0,1,0,1,0,1,1,Global
Global Movie 109,1964,173.0,64005130.0,5.6,448405,0,1,0,1,0,0,1,0,1,1,Global
Global Movie 110,1991,154.0,7775996.0,8.1,339051,1,1,1,0,1,1,0,1,1,0,Global
Global Movie 111,2000,94.0,186545167.0,4.2,603860,0,1,0,1,0,0,1,0,1,0,Global
Global Movie 112,2012,174.0,112272847.0,5.6,851698,0,0,0,1,0,1,0,0,0,1,Global
Global Movie 113,2001,134.0,29227962.0,6.7,66211,1,1,1,0,1,1,1,0,0,0,Global
Global Movie 114,1953,75.0,83304617.0,4.2,508969,1,0,0,0,0,0,1,1,0,0,Global
Global Movie 115,1972,92.0,36514731.0,5.0,790149,0,1,1,0,1,0,1,0,0,1,Global
Global Movie 116,1964,133.0,159897578.0,9.1,474358,0,0,0,1,1,1,1,0,0,0,Global
Global Movie 117,1992,156.0,179988201.0,9.4,948363,0,0,1,0,0,1,1,0,1,1,Global
Global Movie 118,1978,112.0,56945552.0,8.1,636788,0,0,0,1,0,0,0,1,1,1,Global
Global Movie 119,1985,176.0,70568486.0,5.4,840441,1,1,1,1,1,0,0,1,0,1,Global
Global Movie 120,1962,92.0,166821911.0,5.4,455686,0,1,1,0,0,0,1,1,0,0,Global
Global Movie 121,1981,165.0,118299394.0,7.6,285001,0,1,0,1,0,1,0,0,0,1,Global
Global Movie 122,2020,99.0,120337971.0,4.6,829286,1,1,0,0,0,1,1,0,0,1,Global
Global Movie 123,2008,146.0,5240012.0,9.2,301214,1,1,0,0,1,1,1,0,1,1,Global
Global Movie 124,1977,176.0,114001746.0,5.2,531822,1,0,1,1,1,0,1,0,1,0,Global
Global Movie 125,2015,87.0,115770824.0,9.5,16763,1,0,0,1,0,1,0,0,1,0,Global
Global Movie 126,1991,156.0,8903797.0,6.7,960184,1,0,0,1,1,1,1,0,1,1,Global
Global Movie 127,1994,148.0,121020821.0,8.2,181671,1,1,1,0,1,1,1,1,0,1,Global
Global Movie 128,2011,166.0,124865660.0,4.0,205884,0,0,1,0,0,0,0,0,0,0,Global
Global Movie 129,2006,90.0,75158849.0,8.9,503074,0,1,0,0,0,1,1,1,0,1,Global
Global Movie 130,1955,126.0,56483594.0,5.5,75848,0,0,0,1,0,0,0,0,1,0,Global
Global Movie 131,1977,172.0,142243934.0,7.7,610063,1,1,1,0,1,1,0,0,0,1,Global
Global Movie 132,1977,92.0,139465056.0,8.4,420641,1,0,1,1,1,1,0,1,0,0,Global
Global Movie 133,1993,160.0,86337549.0,4.9,775799,0,1,1,0,0,0,0,1,0,1,Global
Global Movie 134,1979,114.0,165801615.0,6.4,282219,0,0,0,0,1,0,0,0,1,1,Global
Global Movie 135,2011,113.0,104964170.0,6.7,22731,1,0,0,1,1,0,0,0,0,0,Global
Global Movie 136,2011,151.0,156731360.0,5.7,863867,1,0,1,1,1,1,0,0,1,0,Global
Global Movie 137,1950,157.0,156058941.0,6.6,703591,0,1,1,1,0,0,1,1,1,0,Global
Global Movie 138,1976,116.0,148319174.0,5.7,810032,0,0,1,0,1,1,1,0,1,1,Global
Global Movie 139,2011,109.0,107789759.0,6.0,666628,0,0,0,1,1,1,1,0,0,0,Global
Global Movie 140,1952,120.0,76546398.0,7.7,509635,0,0,0,1,0,0,1,1,0,0,Global
Global Movie 141,2019,111.0,107074108.0,7.5,190909,0,1,0,1,1,0,1,1,0,0,Global
Global Movie 142,2021,76.0,116043821.0,5.3,772245,1,0,0,1,1,0,1,0,1,0,Global
Global Movie 143,1976,119.0,158102126.0,8.9,773918,0,1,1,0,0,0,1,0,1,0,Global
Global Movie 144,1958,117.0,122191899.0,8.7,575485,0,0,1,0,1,1,1,1,0,0,Global
Global Movie 145,2011,153.0,1483791.0,6.8,11857,1,0,0,1,0,1,0,0,1,1,Global
Global Movie 146,1986,160.0,162054482.0,6.4,460689,0,1,1,1,1,0,1,1,1,0,Global
Global Movie 147,2000,75.0,16374160.0,6.1,680806,1,1,1,0,1,0,1,1,0,0,Global
Global Movie 148,1993,160.0,87044794.0,7.9,742284,1,0,0,1,0,1,0,0,0,0,Global
Global Movie 149,1973,78.0,79945753.0,7.7,595826,0,1,1,1,0,1,0,1,1,1,Global
Global Movie 150,2008,178.0,10184874.0,5.1,892844,0,1,0,1,0,0,0,1,0,0,Global
Global Movie 151,1981,126.0,14317681.0,7.7,579937,1,1,0,0,1,1,1,0,0,1,Global
Global Movie 152,2001,100.0,5225872.0,5.4,6066,1,0,0,0,1,1,0,1,1,0,Global
Global Movie 153,2011,90.0,14380190.0,4.1,647262,1,0,1,0,0,1,0,1,1,1,Global
Global Movie 154,2007,159.0,110713163.0,7.8,828508,0,0,0,1,0,1,0,0,1,0,Global
Global Movie 155,2001,109.0,43553366.0,7.5,840250,0,1,1,1,0,1,0,0,0,1,Global
Global Movie 156,1961,114.0,136463477.0,6.3,332194,0,1,1,1,1,1,1,1,0,1,Global
Global Movie 157,1988,146.0,127785397.0,6.9,389703,0,1,0,0,1,1,0,0,1,0,Global
Global Movie 158,1951,118.0,20004157.0,9.2,576196,0,1,0,0,0,1,1,1,1,1,Global
Global Movie 159,1952,156.0,97970986.0,7.3,447222,1,0,0,1,1,0,0,1,0,0,Global
Global Movie 160,2005,89.0,126903843.0,7.6,773858,0,1,0,1,1,1,0,1,1,1,Global
Global Movie 161,2008,170.0,57564794.0,4.4,341793,0,0,0,1,1,0,0,0,0,1,Global
Global Movie 162,1951,161.0,192603875.0,4.9,827099,1,1,1,1,0,0,1,1,1,1,Global
Global Movie 163,1951,86.0,143455609.0,5.7,296343,0,0,1,1,1,0,0,1,0,1,Global
Global Movie 164,2003,97.0,87905047.0,7.0,248589,0,0,1,0,0,0,1,0,0,0,Global
Global Movie 165,1950,110.0,38281336.0,8.3,312189,0,1,0,0,0,0,0,0,0,0,Global
Global Movie 166,1968,135.0,149677264.0,5.8,494485,1,1,0,0,0,1,1,0,0,0,Global
Global Movie 167,1951,94.0,117050854.0,6.0,184001,1,1,1,0,0,0,1,0,1,1,Global
Global Movie 168,2002,127.0,40465270.0,5.4,376571,0,0,0,1,0,1,0,1,1,1,Global
Global Movie 169,1993,110.0,186942572.0,5.4,218922,0,1,1,0,0,0,0,0,0,0,Global
Global Movie 170,1981,75.0,18812427.0,9.2,810318,0,0,1,0,1,1,0,0,0,0,Global
Global Movie 171,2019,144.0,70298432.0,7.5,321917,1,1,1,1,0,1,1,1,0,0,Global
Global Movie 172,1981,107.0,55266388.0,4.9,637100,1,0,0,0,1,0,0,1,1,1,Global
Global Movie 173,2017,75.0,2761331.0,8.0,828517,0,1,0,1,1,1,1,0,1,1,Global
Global Movie 174,2004,114.0,187426705.0,8.0,392770,0,0,1,0,1,0,1,0,1,0,Global
Global Movie 175,2005,144.0,24553648.0,7.7,760152,0,0,0,1,1,1,1,0,1,0,Global
Global Movie 176,1966,83.0,101546859.0,4.7,8009,0,0,0,1,0,1,1,0,0,0,Global
Global Movie 177,1987,135.0,115328329.0,6.2,743712,1,1,0,1,1,0,1,1,1,1,Global
Global Movie 178,1973,109.0,38513447.0,4.6,242725,1,0,1,0,0,1,1,0,0,1,Global
Global Movie 179,2018,72.0,28298766.0,8.5,863539,0,1,1,0,0,1,1,1,1,0,Global
Global Movie 180,2019,168.0,12061060.0,7.6,224850,1,0,1,1,1,1,0,1,1,0,Global
Global Movie 181,1960,166.0,3214979.0,6.8,899317,1,1,1,0,0,1,0,0,1,1,Global
Global Movie 182,1965,93.0,67041337.0,5.9,734624,0,1,1,1,1,1,1,1,1,0,Global
Global Movie 183,2008,88.0,121846363.0,5.0,208722,0,0,0,1,0,1,0,0,1,0,Global
Global Movie 184,2019,87.0,176126452.0,4.6,469553,0,0,1,1,0,0,0,0,0,0,Global
Global Movie 185,1952,133.0,101859507.0,9.3,255617,0,1,0,1,0,1,1,0,0,1,Global
Global Movie 186,1969,157.0,137053810.0,5.1,63805,1,0,1,1,1,0,0,0,0,0,Global
Global Movie 187,2008,178.0,117601422.0,4.3,888017,0,1,0,1,1,1,1,1,1,1,Global
Global Movie 188,1985,104.0,164724048.0,9.3,305495,0,1,0,1,0,0,1,0,1,0,Global
Global Movie 189,1968,131.0,167362798.0,7.0,339554,0,1,1,0,0,1,0,1,0,1,Global
Global Movie 190,2016,70.0,56288809.0,8.4,34907,0,1,0,0,1,0,1,0,1,1,Global
Global Movie 191,1968,169.0,176167671.0,4.2,833538,1,1,0,0,0,1,1,1,1,0,Global
Global Movie 192,1969,94.0,67536470.0,7.1,632065,0,1,0,0,1,0,0,1,0,1,Global
Global Movie 193,2020,114.0,156582225.0,6.2,211090,0,1,0,0,1,0,0,0,1,1,Global
Global Movie 194,2001,118.0,123947712.0,8.2,654992,1,1,0,0,1,0,1,0,1,0,Global
Global Movie 195,1982,176.0,98077538.0,4.2,439368,0,1,0,1,1,1,0,1,0,0,Global
Global Movie 196,1989,167.0,26543156.0,6.2,666108,0,0,1,0,0,1,1,1,1,1,Global
Global Movie 197,1988,158.0,99234846.0,8.4,273159,0,1,0,1,1,1,0,1,1,0,Global
Global Movie 198,1950,85.0,22755450.0,6.9,363222,1,1,1,0,1,0,0,0,0,0,Global
Global Movie 199,1960,167.0,99986475.0,7.0,879277,0,1,0,1,1,1,0,0,0,0,Global
Global Movie 200,2006,162.0,131781696.0,4.5,142402,0,0,0,0,1,0,1,0,1,0,Global
Global Movie 201,1999,88.0,94400706.0,4.7,323275,0,0,0,0,0,1,0,0,0,0,Global
Global Movie 202,1972,92.0,88858242.0,7.7,363428,1,0,0,0,1,0,1,1,1,0,Global
Global Movie 203,1980,152.0,100671844.0,7.7,125996,0,0,0,0,0,0,1,1,1,0,Global
Global Movie 204,1991,94.0,172944220.0,9.4,924803,0,0,0,0,1,0,1,1,1,1,Global
Global Movie 205,1956,85.0,24380568.0,7.9,729943,0,0,0,1,1,1,0,1,1,0,Global
Global Movie 206,1965,123.0,128137184.0,6.7,228670,1,1,0,1,0,0,0,1,0,0,Global
Global Movie 207,2009,142.0,152073891.0,8.7,408044,1,0,1,0,1,1,1,0,0,0,Global
Global Movie 208,1951,70.0,11342588.0,4.6,406395,0,0,1,1,0,0,1,0,0,0,Global
Global Movie 209,1950,111.0,159147548.0,6.5,545846,0,0,1,1,1,1,0,1,0,0,Global
Global Movie 210,1997,88.0,62258617.0,5.6,388870,1,0,1,1,0,0,0,0,1,0,Global
Global Movie 211,1961,166.0,109799833.0,4.6,229345,0,0,0,1,0,0,0,0,0,1,Global
Global Movie 212,2018,103.0,55301059.0,8.2,309340,1,1,0,0,0,0,0,0,1,0,Global
Global Movie 213,1986,149.0,57719600.0,6.8,764823,1,1,0,0,0,1,1,0,1,1,Global
Global Movie 214,1981,177.0,40524109.0,7.1,39372,1,0,1,1,0,0,1,0,1,1,Global
Global Movie 215,1958,173.0,16505393.0,6.3,579759,0,1,1,0,1,0,0,1,1,1,Global
Global Movie 216,1968,124.0,85854490.0,6.5,869015,1,0,1,0,0,1,1,1,1,1,Global
Global Movie 217,1997,87.0,78908384.0,4.6,548094,1,1,0,0,0,1,0,0,0,0,Global
Global Movie 218,1952,103.0,117653973.0,7.7,421926,0,1,0,0,1,0,0,1,1,0,Global
Global Movie 219,1969,158.0,95873775.0,6.4,46193,0,0,1,1,0,1,0,1,0,0,Global
Global Movie 220,1973,114.0,88822722.0,8.5,815171,0,0,0,1,1,1,0,0,1,1,Global
Global Movie 221,2003,75.0,129296406.0,5.1,618154,1,0,0,1,1,0,1,0,1,0,Global
Global Movie 222,1982,90.0,46554920.0,5.1,331561,1,1,0,0,0,1,1,0,1,1,Global
Global Movie 223,1973,139.0,26860758.0,7.6,363012,0,1,1,1,0,0,1,0,1,1,Global
Global Movie 224,2021,165.0,186590211.0,8.7,498609,1,0,0,1,0,0,0,1,1,0,Global
Global Movie 225,1985,174.0,111930196.0,6.6,225949,0,0,1,1,0,0,1,0,0,1,Global
Global Movie 226,1987,117.0,91512612.0,8.0,139019,0,1,1,1,0,1,0,0,1,0,Global
Global Movie 227,1974,176.0,33679646.0,9.5,479620,0,0,0,0,0,1,1,1,0,1,Global
Global Movie 228,1967,108.0,157381396.0,9.4,151843,0,1,0,1,1,0,0,0,0,1,Global
Global Movie 229,2015,100.0,76640089.0,8.1,459591,0,1,0,0,1,0,1,1,0,0,Global
Global Movie 230,2003,175.0,91838137.0,8.1,643257,1,0,1,0,1,1,0,1,0,1,Global
Global Movie 231,1984,79.0,77766434.0,5.4,741370,1,1,1,1,1,1,1,0,0,0,Global
Global Movie 232,2010,99.0,179262615.0,8.6,747905,0,1,0,0,0,0,1,1,1,0,Global
Global Movie 233,1990,87.0,136252508.0,6.2,628222,1,1,0,0,0,0,1,0,1,0,Global
Global Movie 234,1982,129.0,175900982.0,9.3,712703,1,1,1,1,1,0,1,1,1,1,Global
Global Movie 235,2017,157.0,195402107.0,4.4,288865,0,0,1,1,0,1,1,0,1,0,Global
Global Movie 236,1982,142.0,199564290.0,6.4,258680,1,1,1,1,0,0,1,0,0,0,Global
Global Movie 237,1963,164.0,128585728.0,7.1,982392,1,0,1,1,1,1,1,1,1,0,Global
Global Movie 238,1970,84.0,100706611.0,6.2,355443,0,1,1,1,1,0,0,0,1,0,Global
Global Movie 239,1997,73.0,162950780.0,5.2,56967,1,0,0,0,1,1,0,1,1,1,Global
Global Movie 240,1969,132.0,35303477.0,7.3,860201,1,1,1,1,1,1,0,1,0,0,Global
Global Movie 241,1957,109.0,31477458.0,8.2,111914,1,1,1,0,0,0,1,0,0,0,Global
Global Movie 242,1956,78.0,181195248.0,7.5,857517,1,0,0,0,1,1,1,1,0,0,Global
Global Movie 243,2016,178.0,142953813.0,5.3,43586,1,1,1,1,0,1,0,0,0,0,Global
Global Movie 244,1966,78.0,167707128.0,8.0,897869,0,0,1,0,1,0,1,1,0,0,Global
Global Movie 245,1982,95.0,173333946.0,5.4,611412,0,1,0,0,1,1,0,0,1,1,Global
Global Movie 246,1997,73.0,114588267.0,5.0,605932,0,0,1,1,1,1,1,1,0,0,Global
Global Movie 247,2008,150.0,37655436.0,7.8,1138,0,0,0,1,0,0,0,1,1,1,Global
Global Movie 248,1971,85.0,104595504.0,8.6,991249,0,1,1,0,0,1,1,1,1,0,Global
Global Movie 249,1979,84.0,95184843.0,6.6,857611,1,1,1,0,0,1,1,1,1,1,Global
Global Movie 250,1987,168.0,111759990.0,6.9,194506,1,1,0,0,0,0,1,1,0,0,Global
Global Movie 251,2000,121.0,89073522.0,5.7,853692,0,1,1,0,1,0,1,0,1,1,Global
Global Movie 252,2003,138.0,46843878.0,6.7,47734,0,1,1,0,1,0,1,0,1,1,Global
Global Movie 253,1957,74.0,93956064.0,4.7,323693,0,1,0,1,1,1,1,1,0,0,Global
Global Movie 254,1976,89.0,178876640.0,9.3,850775,1,1,1,1,1,0,0,0,1,1,Global
Global Movie 255,1976,148.0,24210780.0,8.4,703907,1,1,1,1,0,0,0,0,0,0,Global
Global Movie 256,1970,87.0,102620036.0,7.7,110906,1,1,1,1,1,0,0,0,0,0,Global
Global Movie 257,1979,71.0,165771525.0,7.0,141313,1,0,1,0,1,0,1,1,0,1,Global
Global Movie 258,1977,162.0,87096926.0,8.4,775971,1,0,1,1,1,0,0,0,1,1,Global
Global Movie 259,2013,82.0,55760408.0,6.7,325648,1,0,0,1,0,0,1,0,1,1,Global
Global Movie 260,2018,73.0,87195311.0,5.6,324133,0,1,1,0,0,0,0,1,1,0,Global
Global Movie 261,2010,111.0,100858989.0,4.9,809923,1,0,1,0,0,1,0,1,0,1,Global
Global Movie 262,1997,178.0,49677728.0,7.6,106211,0,1,0,0,1,1,0,1,1,1,Global
Global Movie 263,1968,143.0,178665587.0,9.1,419797,0,1,0,1,0,0,1,1,1,1,Global
Global Movie 264,1953,130.0,183173321.0,4.8,647549,1,1,0,1,0,0,1,1,0,0,Global
Global Movie 265,1984,164.0,66135063.0,5.0,768954,1,1,0,0,1,1,0,0,1,0,Global
Global Movie 266,2013,174.0,55827081.0,6.4,582092,1,0,1,0,0,0,1,0,1,1,Global
Global Movie 267,1998,77.0,190765160.0,8.4,933646,1,0,1,1,1,1,0,0,0,1,Global
Global Movie 268,1966,136.0,35394700.0,5.6,783170,1,0,1,0,1,0,1,1,0,1,Global
Global Movie 269,1993,132.0,40683458.0,5.4,337747,1,1,1,0,0,1,0,0,1,0,Global
Global Movie 270,1979,179.0,140988666.0,7.4,894095,1,1,1,0,1,0,1,1,1,1,Global
